city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",flood-focused,all_hd,10,7,23.92,0.19059999287128448,0.0,0.0,396.9,0.029,False
"Minneapolis, MN",flood-focused,all_hd,10,8,23.92,0.1907999962568283,0.0,0.0,396.9,0.029,False
"Minneapolis, MN",flood-focused,all_hd,10,9,23.92,0.1906999945640564,0.0,0.0,396.9,0.03,False
"Minneapolis, MN",flood-focused,all_hd,25,0,23.31,0.18520000576972961,0.0,0.0,416.8,0.031,False
"Minneapolis, MN",flood-focused,all_hd,25,1,23.31,0.1850000023841858,0.0,0.0,416.8,0.03,False
"Minneapolis, MN",flood-focused,all_hd,25,2,23.31,0.1850000023841858,0.0,0.0,416.8,0.03,False
"Minneapolis, MN",flood-focused,all_hd,25,3,23.31,0.18520000576972961,0.0,0.0,416.8,0.031,False
"Minneapolis, MN",flood-focused,all_hd,25,4,23.3,0.1850000023841858,0.0,0.0,417.2,0.031,False
"Minneapolis, MN",flood-focused,all_hd,25,5,23.3,0.18490000069141388,0.0,0.0,417.2,0.03,False
"Minneapolis, MN",flood-focused,all_hd,25,6,23.31,0.1850000023841858,0.0,0.0,416.8,0.03,False
"Minneapolis, MN",flood-focused,all_hd,25,7,23.3,0.18490000069141388,0.0,0.0,417.2,0.03,False
"Minneapolis, MN",flood-focused,all_hd,25,8,23.3,0.1851000040769577,0.0,0.0,417.2,0.031,False
"Minneapolis, MN",flood-focused,all_hd,25,9,23.3,0.1850000023841858,0.0,0.0,417.2,0.031,False
"Minneapolis, MN",flood-focused,all_hd,50,0,22.26,0.17499999701976776,0.0,0.0,452.6,0.031,False
"Minneapolis, MN",flood-focused,all_hd,50,1,22.26,0.17499999701976776,0.0,0.0,452.6,0.031,False
"Minneapolis, MN",flood-focused,all_hd,50,2,22.25,0.17479999363422394,0.0,0.0,452.9,0.032,False
"Minneapolis, MN",flood-focused,all_hd,50,3,22.25,0.17509999871253967,0.0,0.0,452.9,0.032,False
"Minneapolis, MN",flood-focused,all_hd,50,4,22.25,0.17479999363422394,0.0,0.0,452.9,0.032,False
"Minneapolis, MN",flood-focused,all_hd,50,5,22.25,0.17489999532699585,0.0,0.0,452.9,0.033,False
"Minneapolis, MN",flood-focused,all_hd,50,6,22.25,0.17479999363422394,0.0,0.0,452.9,0.033,False
"Minneapolis, MN",flood-focused,all_hd,50,7,22.25,0.17479999363422394,0.0,0.0,452.9,0.033,False
"Minneapolis, MN",flood-focused,all_hd,50,8,22.25,0.17479999363422394,0.0,0.0,452.9,0.032,False
"Minneapolis, MN",flood-focused,all_hd,50,9,22.25,0.17489999532699585,0.0,0.0,452.9,0.032,False
"Minneapolis, MN",cooling-focused,all_gi,10,0,27.34,0.22280000150203705,0.0,1172.9,296.1,0.028,False
"Minneapolis, MN",cooling-focused,all_gi,10,1,27.34,0.22290000319480896,0.0,1172.9,296.1,0.028,False
"Minneapolis, MN",cooling-focused,all_gi,10,2,27.33,0.22310000658035278,0.0,1172.9,296.3,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,10,3,27.33,0.22290000319480896,0.0,1172.9,296.3,0.028,False
"Minneapolis, MN",cooling-focused,all_gi,10,4,27.33,0.22290000319480896,0.0,1172.9,296.3,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,10,5,27.34,0.22300000488758087,0.0,1172.9,296.1,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,10,6,27.34,0.22290000319480896,0.0,1172.9,296.1,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,10,7,27.34,0.22310000658035278,0.0,1172.9,296.1,0.03,False
"Minneapolis, MN",cooling-focused,all_gi,10,8,27.34,0.22269999980926514,0.0,1172.9,296.1,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,10,9,27.34,0.22280000150203705,0.0,1172.9,296.1,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,25,0,31.85,0.27140000462532043,0.0,2932.6,188.5,0.029,False
"Minneapolis, MN",cooling-focused,all_gi,25,1,31.85,0.2718000113964081,0.0,2932.6,188.5,0.031,False
"Minneapolis, MN",cooling-focused,all_gi,25,2,31.85,0.271699994802475,0.0,2932.6,188.5,0.03,False
"Minneapolis, MN",cooling-focused,all_gi,25,3,31.84,0.27140000462532043,0.0,2932.6,188.7,0.031,False
"Minneapolis, MN",cooling-focused,all_gi,25,4,31.84,0.27140000462532043,0.0,2932.6,188.7,0.032,False
"Minneapolis, MN",cooling-focused,all_gi,25,5,31.85,0.2718000113964081,0.0,2932.6,188.5,0.03,False
"Minneapolis, MN",cooling-focused,all_gi,25,6,31.85,0.27140000462532043,0.0,2932.6,188.5,0.031,False
"Minneapolis, MN",cooling-focused,all_gi,25,7,31.84,0.27149999141693115,0.0,2932.6,188.7,0.03,False
"Minneapolis, MN",cooling-focused,all_gi,25,8,31.85,0.27160000801086426,0.0,2932.6,188.5,0.03,False
"Minneapolis, MN",cooling-focused,all_gi,25,9,31.85,0.27140000462532043,0.0,2932.6,188.5,0.03,False
"Minneapolis, MN",cooling-focused,all_gi,50,0,39.34,0.3695000112056732,0.0,5865.1,65.5,0.031,False
"Minneapolis, MN",cooling-focused,all_gi,50,1,39.35,0.36970001459121704,0.0,5865.1,65.4,0.033,False
"Minneapolis, MN",cooling-focused,all_gi,50,2,39.35,0.36970001459121704,0.0,5865.1,65.4,0.031,False
"Minneapolis, MN",cooling-focused,all_gi,50,3,39.34,0.3693999946117401,0.0,5865.1,65.5,0.032,False
"Minneapolis, MN",cooling-focused,all_gi,50,4,39.34,0.36910000443458557,0.0,5865.1,65.5,0.035,False
"Minneapolis, MN",cooling-focused,all_gi,50,5,39.36,0.3700000047683716,0.0,5865.1,65.3,0.033,False
"Minneapolis, MN",cooling-focused,all_gi,50,6,39.36,0.3695000112056732,0.0,5865.1,65.3,0.032,False
"Minneapolis, MN",cooling-focused,all_gi,50,7,39.34,0.3693999946117401,0.0,5865.1,65.5,0.031,False
"Minneapolis, MN",cooling-focused,all_gi,50,8,39.33,0.3691999912261963,0.0,5865.1,65.6,0.032,False
"Minneapolis, MN",cooling-focused,all_gi,50,9,39.35,0.3695000112056732,0.0,5865.1,65.4,0.032,False
"Minneapolis, MN",cooling-focused,all_ff,10,0,24.62,0.22190000116825104,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,10,1,24.62,0.22190000116825104,6.744,2052.6,374.8,0.03,False
"Minneapolis, MN",cooling-focused,all_ff,10,2,24.62,0.22210000455379486,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,10,3,24.62,0.22190000116825104,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,10,4,24.62,0.22200000286102295,6.744,2052.6,374.8,0.028,False
"Minneapolis, MN",cooling-focused,all_ff,10,5,24.62,0.22200000286102295,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,10,6,24.62,0.22190000116825104,6.744,2052.6,374.8,0.028,False
"Minneapolis, MN",cooling-focused,all_ff,10,7,24.62,0.22210000455379486,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,10,8,24.62,0.22179999947547913,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,10,9,24.62,0.22179999947547913,6.744,2052.6,374.8,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,25,0,25.05,0.26840001344680786,16.862,5132.0,361.6,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,25,1,25.05,0.2689000070095062,16.862,5132.0,361.6,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,25,2,25.05,0.2687999904155731,16.862,5132.0,361.6,0.031,False
"Minneapolis, MN",cooling-focused,all_ff,25,3,25.05,0.2685000002384186,16.862,5132.0,361.6,0.03,False
"Minneapolis, MN",cooling-focused,all_ff,25,4,25.05,0.2685000002384186,16.862,5132.0,361.6,0.029,False
"Minneapolis, MN",cooling-focused,all_ff,25,5,25.06,0.2689000070095062,16.862,5132.0,361.3,0.03,False
"Minneapolis, MN",cooling-focused,all_ff,25,6,25.05,0.2685000002384186,16.862,5132.0,361.6,0.031,False
"Minneapolis, MN",cooling-focused,all_ff,25,7,25.05,0.2687000036239624,16.862,5132.0,361.6,0.03,False
"Minneapolis, MN",cooling-focused,all_ff,25,8,25.05,0.2685999870300293,16.862,5132.0,361.6,0.031,False
"Minneapolis, MN",cooling-focused,all_ff,25,9,25.05,0.2685000002384186,16.862,5132.0,361.6,0.03,False
"Minneapolis, MN",cooling-focused,all_ff,50,0,25.76,0.3625999987125397,33.725,10264.0,340.4,0.033,False
"Minneapolis, MN",cooling-focused,all_ff,50,1,25.77,0.3628000020980835,33.725,10264.0,340.1,0.032,False
"Minneapolis, MN",cooling-focused,all_ff,50,2,25.76,0.3628000020980835,33.725,10264.0,340.4,0.034,False
